image,time_seconds
file1000000_15.tiff,0.0014781951904296875
file1000031_14.tiff,0.0015411376953125
file1000033_15.tiff,0.0013985633850097656
file1000041_25.tiff,0.0013854503631591797
file1000073_15.tiff,0.0013647079467773438
file1000108_21.tiff,0.001111745834350586
file1000126_14.tiff,0.001104116439819336
file1000182_15.tiff,0.0013873577117919922
file1000243_15.tiff,0.0013325214385986328
file1000277_15.tiff,0.001367807388305664
file1001168_15.tiff,0.0013628005981445312
file1001184_15.tiff,0.0013446807861328125
file1001191_16.tiff,0.0013289451599121094
file1001221_15.tiff,0.0013267993927001953
file1001289_15.tiff,0.001356363296508789
file1001338_15.tiff,0.0013310909271240234
file1001344_15.tiff,0.0013434886932373047
file1001381_15.tiff,0.0013256072998046875
file1001444_16.tiff,0.0013477802276611328
file1001585_16.tiff,0.0014498233795166016
